field_1,Site,Sample_ID,Date_ddPCR,Sample.type,State,Well,Lab_ID,Target,Concentrat,Status,Experiment,Supermix,DyeName.s.,Accepted_D,Positives.,Negatives.,Concentr_1,Accepted_1,Positive_1,Negative_1,Concentr_2,Accepted_2,Positive_2,Negative_2,freq,Infected,Bd.load_co,Comments.x,GPS,Collection,DOY,Time,Hg_mean,Coloration,Size,Frog_posit,Sex,Male,Weight,SVL,leaf_litte,ground_veg,small_trun,large_trun,fallen_tre,woody,phyto,Type_phyto,Microhab_t,Ambient_te,canopy_ID,canopy_cov,Comments.y,DateTimeS,Elevation,DateTime,Lon,Lat,dist_to_ph,dist_to_tr,coords.x1,coords.x2,distance.y,dist_km,min_spent,hrs_spent,frogs_obse,ind_obs,ind_per_km,Area_m,Area_ha,HFI,scaled_SMI.rob,DNA_ng.ml
116,Kaw,23-Dt-048,27/07/2023,Frog swab,Wild,B04,DT105,Bd,0.218289375,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,21560,4,21556,0.203348115,17358,3,17355,NA,NA,NA,NA,2,Yes,0.210818745,,445,26/01/2023,26,12:10,1.3,blue,Small,Leaf litter,Male,1,2.75,3.86,80,65,4,0,0,15,FALSE,NA,26.7,NA,IMG_3651,93.24,Temperature recording correct ??,11:23.0,118.760384,1/26/2023 15:11,-52.043765,4.503044,30.61606724,55.29308196,1050496.863,499604.8348,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,-1.687352298,too low
117,Kaw,23-Dt-048,27/07/2023,Frog swab,Wild,B04,DT105,RAG1,1.091852069,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,21560,20,21540,10.00562477,17358,147,17211,NA,NA,NA,NA,2,,NA,,445,26/01/2023,26,12:10,1.3,blue,Small,Leaf litter,Male,1,2.75,3.86,80,65,4,0,0,15,FALSE,NA,26.7,NA,IMG_3651,93.24,Temperature recording correct ??,11:23.0,118.760384,1/26/2023 15:11,-52.043765,4.503044,30.61606724,55.29308196,1050496.863,499604.8348,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,-1.687352298,too low
118,Kaw,23-Dt-081,01/08/2023,Frog swab,Wild,E06,DT219,Bd,0.065836795,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,17870,1,17869,0,19078,0,19078,NA,NA,NA,NA,2,No,0,,493,01/02/2023,32,11:22,1.3,blue,Small,Leaf litter,Female,0,2.55,3.2,100,35,7,0,0,5,FALSE,NA,24.5,25.2,IMG_3887,94.28,,22:33.0,134.755142,02/01/2023 14:22,-52.043053,4.503947,13.69427512,10.24963374,1050575.461,499705.562,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,0.365615051,6.42
119,Kaw,23-Dt-081,01/08/2023,Frog swab,Wild,E06,DT219,RAG1,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,17870,0,17870,0.061667964,19078,1,19077,NA,NA,NA,NA,2,,NA,,493,01/02/2023,32,11:22,1.3,blue,Small,Leaf litter,Female,0,2.55,3.2,100,35,7,0,0,5,FALSE,NA,24.5,25.2,IMG_3887,94.28,,22:33.0,134.755142,02/01/2023 14:22,-52.043053,4.503947,13.69427512,10.24963374,1050575.461,499705.562,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,0.365615051,6.42
120,Kaw,23-Dt-082,01/08/2023,Frog swab,Wild,F06,DT220,RAG1,1.34942162,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,20936,24,20912,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,496,01/02/2023,32,12:00,1.3,blue,Small,Bare ground,Female,0,2.31,2.95,70,5,5,0,0,35,FALSE,NA,24.4,24.7,IMG_3890,93.29,,01:00.0,123.843788,02/01/2023 15:01,-52.04245,4.50402,54.34372393,32.9643744,1050642.548,499714.1187,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,1.08619503,too low
121,Kaw,23-Dt-050,27/07/2023,Frog swab,Wild,D04,DT107,Bd,0.122881822,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,19149,2,19147,0,19146,0,19146,NA,NA,NA,NA,2,No,0,,448,26/01/2023,26,13:30,1.3,blue,Small,Under fallen log,Male,1,2.37,3.36,30,20,2,0,1,45,FALSE,NA,25.6,NA,IMG_3657,93.27,,35:39.0,138.224243,1/26/2023 16:35,-52.043445,4.503603,38.12974829,3.785909382,1050532.072,499667.0981,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,-0.739128671,too low
122,Kaw,23-Dt-051,27/07/2023,Frog swab,Wild,E04,DT108,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,15995,0,15995,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,449,26/01/2023,26,13:55,1.3,blue,Small,Under dead wood,Female,0,4.68,4.13,10,10,2,0,1,75,FALSE,NA,25.6,NA,IMG_3663,88.25,With eggs,57:39.0,136.466873,1/26/2023 16:57,-52.04329,4.503582,23.51706168,21.17379309,1050549.347,499664.8857,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,0.054214675,too low
123,Kaw,23-Dt-051,27/07/2023,Frog swab,Wild,E04,DT108,RAG1,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,15995,0,15995,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,449,26/01/2023,26,13:55,1.3,blue,Small,Under dead wood,Female,0,4.68,4.13,10,10,2,0,1,75,FALSE,NA,25.6,NA,IMG_3663,88.25,With eggs,57:39.0,136.466873,1/26/2023 16:57,-52.04329,4.503582,23.51706168,21.17379309,1050549.347,499664.8857,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,0.054214675,too low
124,Kaw,23-Dt-080,01/08/2023,Frog swab,Wild,D06,DT218,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,20580,0,20580,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,492,01/02/2023,32,11:07,1.3,blue,Small,Tree root,Male,1,2.29,3.47,95,5,2,1,0,5,FALSE,NA,23.8,24,IMG_3884,92.64,Transporting tadpole,08:07.0,133.887039,02/01/2023 14:08,-52.043053,4.504229,29.69575022,32.60667249,1050575.247,499736.8498,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,-1.294845026,11.5
125,Kaw,23-Dt-082,01/08/2023,Frog swab,Wild,F06,DT220,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,20936,0,20936,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,496,01/02/2023,32,12:00,1.3,blue,Small,Bare ground,Female,0,2.31,2.95,70,5,5,0,0,35,FALSE,NA,24.4,24.7,IMG_3890,93.29,,01:00.0,123.843788,02/01/2023 15:01,-52.04245,4.50402,54.34372393,32.9643744,1050642.548,499714.1187,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,1.08619503,too low
126,Kaw,23-Dt-083,01/08/2023,Frog swab,Wild,G06,DT221,Bd,0.058960609,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,19954,1,19953,0.080116488,14685,1,14684,NA,NA,NA,NA,2,No,0,,499,01/02/2023,32,12:30,1.3,blue,Small,Bare ground,Female,0,2.88,3.73,40,40,5,0,0,0,FALSE,NA,25,25.2,IMG_3899,93.1,,30:40.0,114.643158,02/01/2023 15:30,-52.041759,4.504587,147.0467197,109.9565809,1050719.061,499777.5513,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,-1.101677936,21.4
127,Kaw,23-Dt-080,01/08/2023,Frog swab,Wild,D06,DT218,RAG1,0.057167113,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,20580,1,20579,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,492,01/02/2023,32,11:07,1.3,blue,Small,Tree root,Male,1,2.29,3.47,95,5,2,1,0,5,FALSE,NA,23.8,24,IMG_3884,92.64,Transporting tadpole,08:07.0,133.887039,02/01/2023 14:08,-52.043053,4.504229,29.69575022,32.60667249,1050575.247,499736.8498,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,-1.294845026,11.5
128,Kaw,23-Dt-083,01/08/2023,Frog swab,Wild,G06,DT221,RAG1,0.766718566,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,19954,13,19941,0.560930014,14685,7,14678,NA,NA,NA,NA,2,,NA,,499,01/02/2023,32,12:30,1.3,blue,Small,Bare ground,Female,0,2.88,3.73,40,40,5,0,0,0,FALSE,NA,25,25.2,IMG_3899,93.1,,30:40.0,114.643158,02/01/2023 15:30,-52.041759,4.504587,147.0467197,109.9565809,1050719.061,499777.5513,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,-1.101677936,21.4
129,Mataroni,23-Dt-092,17/05/2023,Frog swab,Wild,F03,DT69,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,20200,0,20200,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,516,06/02/2023,37,14:50,1.7,yellow,Large,Under fallen log,Female,0,6.32,5.21,10,20,0,0,1,80,FALSE,NA,25.6,25.2,IMG_3985,77.93,,51:57.0,90.607979,02/06/2023 17:51,-52.156245,4.074128,104.5572656,10.69383583,1038275.049,451940.6155,32367,32,2417,40.28333333,58,52,1.75,145019,15,8.079117775,-2.095023087,3.82
130,Mataroni,23-Dt-090,17/05/2023,Frog swab,Wild,F01,DT67,Bd,0.114209354,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,20603,3,20601,0.49954772,16489,7,16482,NA,NA,NA,NA,2,Yes,0.306878537,,513,06/02/2023,37,14:00,1.7,yellow,Large,Under fallen log,Female,0,9.15,5.2,75,15,5,0,1,0,FALSE,NA,24.7,24.7,IMG_3982,92.88,Interacting/courtship with 23-Dt-091,00:09.0,83.916176,02/06/2023 17:00,-52.156478,4.072972,84.9128843,69.38185784,1038249.867,451812.2237,32367,32,2417,40.28333333,58,52,1.75,145019,15,8.109481812,0.008493029,7.06
131,Mataroni,23-Dt-090,17/05/2023,Frog swab,Wild,F01,DT67,RAG1,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,20603,0,20603,2.642872334,16489,37,16452,NA,NA,NA,NA,2,,NA,,513,06/02/2023,37,14:00,1.7,yellow,Large,Under fallen log,Female,0,9.15,5.2,75,15,5,0,1,0,FALSE,NA,24.7,24.7,IMG_3982,92.88,Interacting/courtship with 23-Dt-091,00:09.0,83.916176,02/06/2023 17:00,-52.156478,4.072972,84.9128843,69.38185784,1038249.867,451812.2237,32367,32,2417,40.28333333,58,52,1.75,145019,15,8.109481812,0.008493029,7.06
132,Mataroni,23-Dt-091,17/05/2023,Frog swab,Wild,F02,DT68,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,19950,0,19950,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,514,06/02/2023,37,14:00,1.7,yellow,Large,Under fallen log,Male,1,5.85,4.38,75,15,5,0,1,0,FALSE,NA,24.7,24.7,IMG_3982,92.88,Interacting/courtship with 23-Dt-090,00:11.0,83.917755,02/06/2023 17:00,-52.156476,4.072969,84.51645981,69.62889092,1038250.091,451811.8922,32367,32,2417,40.28333333,58,52,1.75,145019,15,8.109481812,0.184912131,7.4
133,Mataroni,23-Dt-091,17/05/2023,Frog swab,Wild,F02,DT68,RAG1,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,19950,0,19950,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,514,06/02/2023,37,14:00,1.7,yellow,Large,Under fallen log,Male,1,5.85,4.38,75,15,5,0,1,0,FALSE,NA,24.7,24.7,IMG_3982,92.88,Interacting/courtship with 23-Dt-090,00:11.0,83.917755,02/06/2023 17:00,-52.156476,4.072969,84.51645981,69.62889092,1038250.091,451811.8922,32367,32,2417,40.28333333,58,52,1.75,145019,15,8.109481812,0.184912131,7.4
134,Mataroni,23-Dt-095,17/05/2023,Frog swab,Wild,F06,DT72,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,21215,0,21215,0,18299,0,18299,NA,NA,NA,NA,2,No,0,,519,06/02/2023,37,15:55,1.7,yellow,Large,Inside tree hole (alive),Male,1,5.73,4.28,95,20,1,1,0,15,FALSE,NA,24.6,24.9,IMG_3996,93.85,,55:29.0,98.434769,02/06/2023 18:55,-52.155282,4.076042,18.13225061,28.58730722,1038381.041,452153.5827,32367,32,2417,40.28333333,58,52,1.75,145019,15,8.079117775,0.487724709,NA
135,Mataroni,23-Dt-096,17/05/2023,Frog swab,Wild,F07,DT73,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,20341,0,20341,0.068013906,17298,1,17297,NA,NA,NA,NA,2,No,0,,520,06/02/2023,37,16:10,1.7,yellow,Large,Leaf litter,Male,1,7.05,4.33,80,70,0,0,1,0,TRUE,Tree hole (alive),24.8,24.8,IMG_4002,91.99,Interacting with 23-Dt-097,10:38.0,99.406136,02/06/2023 19:10,-52.155013,4.076292,8.542542398,42.60221981,1038410.838,452181.4959,32367,32,2417,40.28333333,58,52,1.75,145019,15,8.079117775,1.867337769,3.52
136,Mataroni,23-Dt-096,17/05/2023,Frog swab,Wild,F07,DT73,RAG1,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,20341,0,20341,3.746616125,17298,55,17243,NA,NA,NA,NA,2,,NA,,520,06/02/2023,37,16:10,1.7,yellow,Large,Leaf litter,Male,1,7.05,4.33,80,70,0,0,1,0,TRUE,Tree hole (alive),24.8,24.8,IMG_4002,91.99,Interacting with 23-Dt-097,10:38.0,99.406136,02/06/2023 19:10,-52.155013,4.076292,8.542542398,42.60221981,1038410.838,452181.4959,32367,32,2417,40.28333333,58,52,1.75,145019,15,8.079117775,1.867337769,3.52
137,Mataroni,23-Dt-097,17/05/2023,Frog swab,Wild,G01,DT74,RAG1,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,21079,0,21079,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,521,06/02/2023,37,16:10,1.7,yellow,Large,Leaf litter,Female,0,9.84,5.29,80,70,0,0,1,0,TRUE,Tree hole (alive),24.8,24.8,IMG_4002,91.99,Interacting with 23-Dt-096,10:41.0,99.403648,02/06/2023 19:10,-52.155019,4.07629,8.798302922,42.30299336,1038410.171,452181.27,32367,32,2417,40.28333333,58,52,1.75,145019,15,8.079117775,0.181300979,2.4
138,Mataroni,23-Dt-097,17/05/2023,Frog swab,Wild,G01,DT74,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,21079,0,21079,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,521,06/02/2023,37,16:10,1.7,yellow,Large,Leaf litter,Female,0,9.84,5.29,80,70,0,0,1,0,TRUE,Tree hole (alive),24.8,24.8,IMG_4002,91.99,Interacting with 23-Dt-096,10:41.0,99.403648,02/06/2023 19:10,-52.155019,4.07629,8.798302922,42.30299336,1038410.171,452181.27,32367,32,2417,40.28333333,58,52,1.75,145019,15,8.079117775,0.181300979,2.4
139,Mataroni,23-Dt-098,17/05/2023,Frog swab,Wild,G02,DT75,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,21318,0,21318,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,522,06/02/2023,37,17:05,1.7,yellow,Large,On fallen log,Female,0,9.71,5.11,80,65,2,0,1,60,FALSE,NA,25.1,25,IMG_4018,90.41,,06:10.0,85.369949,02/06/2023 20:06,-52.157699,4.072438,21.4079739,58.38518024,1038114.213,451752.1684,32367,32,2417,40.28333333,58,52,1.75,145019,15,8.109481812,0.771706158,2.86
140,Mataroni,23-Dt-098,17/05/2023,Frog swab,Wild,G02,DT75,RAG1,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,21318,0,21318,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,522,06/02/2023,37,17:05,1.7,yellow,Large,On fallen log,Female,0,9.71,5.11,80,65,2,0,1,60,FALSE,NA,25.1,25,IMG_4018,90.41,,06:10.0,85.369949,02/06/2023 20:06,-52.157699,4.072438,21.4079739,58.38518024,1038114.213,451752.1684,32367,32,2417,40.28333333,58,52,1.75,145019,15,8.109481812,0.771706158,2.86
141,Mataroni,23-Dt-099,27/07/2023,Frog swab,Wild,E03,DT95,Bd,0.065198295,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,18045,1,18044,0.122907497,19145,2,19143,NA,NA,NA,NA,2,No,0,,530,07/02/2023,38,09:30,1.7,yellow,Large,"Leaf litter, next to fallen log",Male,1,6.26,4.31,85,5,2,0,1,15,FALSE,NA,23.5,24.4,IMG_4035,94.55,,33:22.0,74.491531,02/07/2023 12:33,-52.156736,4.073145,70.35493216,68.75680042,1038221.012,451831.2417,32367,32,2417,40.28333333,58,52,1.75,145019,15,8.109481812,1.003710396,13.32
142,Mataroni,23-Dt-099,27/07/2023,Frog swab,Wild,E03,DT95,RAG1,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,18045,0,18045,0.245827854,19145,4,19141,NA,NA,NA,NA,2,,NA,,530,07/02/2023,38,09:30,1.7,yellow,Large,"Leaf litter, next to fallen log",Male,1,6.26,4.31,85,5,2,0,1,15,FALSE,NA,23.5,24.4,IMG_4035,94.55,,33:22.0,74.491531,02/07/2023 12:33,-52.156736,4.073145,70.35493216,68.75680042,1038221.012,451831.2417,32367,32,2417,40.28333333,58,52,1.75,145019,15,8.109481812,1.003710396,13.32
143,Mataroni,23-Dt-100,27/07/2023,Frog swab,Wild,F03,DT96,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,18078,0,18078,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,541,07/02/2023,38,10:32,1.7,yellow,Large,Leaf litter,Female,0,10.06,5.5,85,20,2,0,0,5,FALSE,NA,24.2,25.1,IMG_4052,93.13,,32:58.0,75.215675,02/07/2023 13:32,-52.155855,4.076654,74.14521457,65.13410522,1038316.804,452221.0876,32367,32,2417,40.28333333,58,52,1.75,145019,15,8.079117775,-0.382037148,4.78
144,Mataroni,23-Dt-100,27/07/2023,Frog swab,Wild,F03,DT96,RAG1,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,18078,0,18078,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,541,07/02/2023,38,10:32,1.7,yellow,Large,Leaf litter,Female,0,10.06,5.5,85,20,2,0,0,5,FALSE,NA,24.2,25.1,IMG_4052,93.13,,32:58.0,75.215675,02/07/2023 13:32,-52.155855,4.076654,74.14521457,65.13410522,1038316.804,452221.0876,32367,32,2417,40.28333333,58,52,1.75,145019,15,8.079117775,-0.382037148,4.78
145,Mataroni,23-Dt-101,27/07/2023,Frog swab,Wild,G03,DT97,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,18788,0,18788,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,546,07/02/2023,38,11:17,1.7,yellow,Large,On fallen log,Juvenile,NA,0.89,2.27,80,20,1,0,1,40,FALSE,NA,25.3,25.7,IMG_4066,89.3,,17:47.0,75.559044,02/07/2023 14:17,-52.157126,4.077348,193.9830832,4.694196971,1038174.762,452297.2203,32367,32,2417,40.28333333,58,52,1.75,145019,15,4.124254704,NA,4.58
146,Mataroni,23-Dt-101,27/07/2023,Frog swab,Wild,G03,DT97,RAG1,0.689001799,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,18788,11,18777,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,546,07/02/2023,38,11:17,1.7,yellow,Large,On fallen log,Juvenile,NA,0.89,2.27,80,20,1,0,1,40,FALSE,NA,25.3,25.7,IMG_4066,89.3,,17:47.0,75.559044,02/07/2023 14:17,-52.157126,4.077348,193.9830832,4.694196971,1038174.762,452297.2203,32367,32,2417,40.28333333,58,52,1.75,145019,15,4.124254704,NA,4.58
147,Mataroni,23-Dt-102,27/07/2023,Frog swab,Wild,H05,DT119,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,20825,0,20825,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,549,07/02/2023,38,11:43,1.7,yellow,Large,"Leaf litter, under palm bract",Juvenile,NA,0.59,1.74,80,25,2,0,0,70,FALSE,NA,24.7,25.2,IMG_4069,94.07,Foraging,44:33.0,87.127861,02/07/2023 14:44,-52.157767,4.077107,213.0820478,27.85969247,1038103.521,452270.056,32367,32,2417,40.28333333,58,52,1.75,145019,15,8.109481812,NA,3.82
148,Mataroni,23-Dt-092,17/05/2023,Frog swab,Wild,F03,DT69,RAG1,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,20200,0,20200,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,516,06/02/2023,37,14:50,1.7,yellow,Large,Under fallen log,Female,0,6.32,5.21,10,20,0,0,1,80,FALSE,NA,25.6,25.2,IMG_3985,77.93,,51:57.0,90.607979,02/06/2023 17:51,-52.156245,4.074128,104.5572656,10.69383583,1038275.049,451940.6155,32367,32,2417,40.28333333,58,52,1.75,145019,15,8.079117775,-2.095023087,3.82
149,Mataroni,23-Dt-093,17/05/2023,Frog swab,Wild,F04,DT70,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,20403,0,20403,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,517,06/02/2023,37,15:25,1.7,yellow,Large,Under fallen log,Female,0,8.73,4.65,80,35,1,0,1,0,FALSE,NA,25.2,25.7,IMG_3993,92.49,,33:18.0,92.071747,02/06/2023 18:33,-52.155487,4.075645,67.58676248,28.87880627,1038358.471,452109.4056,32367,32,2417,40.28333333,58,52,1.75,145019,15,8.079117775,2.015561906,3.58
150,Mataroni,23-Dt-093,17/05/2023,Frog swab,Wild,F04,DT70,RAG1,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,20403,0,20403,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,517,06/02/2023,37,15:25,1.7,yellow,Large,Under fallen log,Female,0,8.73,4.65,80,35,1,0,1,0,FALSE,NA,25.2,25.7,IMG_3993,92.49,,33:18.0,92.071747,02/06/2023 18:33,-52.155487,4.075645,67.58676248,28.87880627,1038358.471,452109.4056,32367,32,2417,40.28333333,58,52,1.75,145019,15,8.079117775,2.015561906,3.58
151,Mataroni,23-Dt-094,17/05/2023,Frog swab,Wild,F05,DT71,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,20218,0,20218,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,518,06/02/2023,37,15:30,1.7,yellow,Large,On dead wood,Female,0,10.08,5.03,70,40,2,0,0,65,FALSE,NA,25.1,25.7,IMG_3995,90.51,,45:33.0,94.220055,02/06/2023 18:45,-52.155483,4.075326,99.71900758,6.621361613,1038359.129,452074.0215,32367,32,2417,40.28333333,58,52,1.75,145019,15,8.079117775,1.402486894,NA
152,Mataroni,23-Dt-094,17/05/2023,Frog swab,Wild,F05,DT71,RAG1,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,20218,0,20218,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,518,06/02/2023,37,15:30,1.7,yellow,Large,On dead wood,Female,0,10.08,5.03,70,40,2,0,0,65,FALSE,NA,25.1,25.7,IMG_3995,90.51,,45:33.0,94.220055,02/06/2023 18:45,-52.155483,4.075326,99.71900758,6.621361613,1038359.129,452074.0215,32367,32,2417,40.28333333,58,52,1.75,145019,15,8.079117775,1.402486894,NA
153,Mataroni,23-Dt-095,17/05/2023,Frog swab,Wild,F06,DT72,RAG1,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,21215,0,21215,0.643090963,18299,10,18289,NA,NA,NA,NA,2,,NA,,519,06/02/2023,37,15:55,1.7,yellow,Large,Inside tree hole (alive),Male,1,5.73,4.28,95,20,1,1,0,15,FALSE,NA,24.6,24.9,IMG_3996,93.85,,55:29.0,98.434769,02/06/2023 18:55,-52.155282,4.076042,18.13225061,28.58730722,1038381.041,452153.5827,32367,32,2417,40.28333333,58,52,1.75,145019,15,8.079117775,0.487724709,NA
154,Mataroni,23-Dt-105,27/07/2023,Frog swab,Wild,C06,DT122,RAG1,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,17478,0,17478,288.014679,16666,3619,13047,NA,NA,NA,NA,2,,NA,,558,07/02/2023,38,12:53,1.7,yellow,Large,Leaf litter,Female,0,4.08,4.35,95,50,1,1,0,40,FALSE,NA,25.4,25.9,IMG_4087,94.17,Skin leasions,53:13.0,91.843002,02/07/2023 15:53,-52.156784,4.073527,71.48035219,55.97591055,1038215.41,451873.5849,32367,32,2417,40.28333333,58,52,1.75,145019,15,8.109481812,-1.810192838,too low
155,Mataroni,23-Dt-106,27/07/2023,Frog swab,Wild,D06,DT123,RAG1,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,17944,0,17944,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,559,07/02/2023,38,13:05,1.7,yellow,Large,Leaf litter,Female,0,7.94,5.33,90,30,2,0,1,0,FALSE,NA,25.4,26.2,IMG_4090,92.82,,04:12.0,94.98597,02/07/2023 16:04,-52.157088,4.073257,30.33896498,55.45034941,1038181.727,451843.4299,32367,32,2417,40.28333333,58,52,1.75,145019,15,8.109481812,-1.264347843,too low
156,Mataroni,23-Dt-106,27/07/2023,Frog swab,Wild,D06,DT123,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,17944,0,17944,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,559,07/02/2023,38,13:05,1.7,yellow,Large,Leaf litter,Female,0,7.94,5.33,90,30,2,0,1,0,FALSE,NA,25.4,26.2,IMG_4090,92.82,,04:12.0,94.98597,02/07/2023 16:04,-52.157088,4.073257,30.33896498,55.45034941,1038181.727,451843.4299,32367,32,2417,40.28333333,58,52,1.75,145019,15,8.109481812,-1.264347843,too low
157,Mataroni,23-Dt-107,27/07/2023,Frog swab,Wild,E06,DT124,RAG1,0.359264225,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,19651,6,19645,0,16123,0,16123,NA,NA,NA,NA,2,,NA,,563,07/02/2023,38,15:07,1.7,yellow,Large,Under fallen log,Female,0,9.17,4.74,100,5,1,1,1,30,FALSE,NA,23.8,24.7,IMG_4096,92.86,Interacting with 23-Dt-099,07:01.0,90.899643,02/07/2023 18:07,-52.156481,4.073252,97.92052652,41.22853953,1038249.345,451843.2822,32367,32,2417,40.28333333,58,52,1.75,145019,15,8.109481812,1.983414256,too low
158,Mataroni,23-Dt-107,27/07/2023,Frog swab,Wild,E06,DT124,Bd,5.159966946,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,19651,86,19565,5.045628548,16123,69,16054,NA,NA,NA,NA,2,Yes,5.102797747,High number of droplets but at amplitud lower than positive control,563,07/02/2023,38,15:07,1.7,yellow,Large,Under fallen log,Female,0,9.17,4.74,100,5,1,1,1,30,FALSE,NA,23.8,24.7,IMG_4096,92.86,Interacting with 23-Dt-099,07:01.0,90.899643,02/07/2023 18:07,-52.156481,4.073252,97.92052652,41.22853953,1038249.345,451843.2822,32367,32,2417,40.28333333,58,52,1.75,145019,15,8.109481812,1.983414256,too low
